Perché è consigliabile eseguire un controllo finale sugli accessi ai sistemi informativi usati dal team di progetto prima di archiviare definitivamente il progetto,Per dimezzare i costi di licenza,Per assegnare nuove password ai fornitori,Per evitare che account non più necessari rimangano abilitati e rappresentino un rischio di sicurezza,Per vendere i dati a partner esterni,C
In che modo la riorganizzazione interna all azienda potrebbe influire sul processo di chiusura di un progetto in corso di completamento,Porterebbe automaticamente alla sospensione del progetto,Potrebbe causare ritardi se cambiano i responsabili autorizzati a firmare l accettazione finale,Determinerebbe l annullamento dei deliverable,Creerebbe un aumento del budget a disposizione,B
Quale tra i seguenti aspetti è prioritario nella riunione di close out se il progetto ha generato molte modifiche all ambito iniziale,Formalizzare le azioni legali contro i manager funzionali,Annotare in modo chiaro ogni modifica approvata e i relativi impatti su costi e tempi e risultati,Proporre una riduzione del compenso ai fornitori,Chiedere la ripetizione della fase di esecuzione,B
Se il cliente accetta parzialmente un deliverable con alcune limitazioni quali conseguenze ci sono nel documento di chiusura,Si stabilisce una penale automatica,Si deve riportare l accettazione parziale con le note sulle limitazioni,Si ignora e si segna tutto come accettato pienamente,Si rivaluta le milestone iniziali per ridurle,B
Quale fattore impedisce di considerare il progetto definitivamente concluso sebbene tutti i deliverable siano stati consegnati,La mancanza di un partner strategico,La chiusura amministrativa non eseguita e l assenza di un archivio ufficiale,La soddisfazione personale del project manager,La presenza di un eccesso di risorse,C
Come possono essere utilizzate le informazioni raccolte durante il close out meeting per migliorare la struttura organizzativa interna,Non possono essere utilizzate in alcun modo,Possono essere ignorate perché non vincolanti,Possono fornire suggerimenti concreti al top management per eventuali adeguamenti nei processi e nella struttura aziendale,Devono essere inserite in un blog pubblico,C
In che modo si gestisce la sovrapposizione tra la chiusura di un progetto e l avvio di un altro che coinvolge gli stessi stakeholder,Si ignorano le attività di chiusura per dedicarsi al nuovo progetto,Si assegna a un consulente esterno la chiusura per mancanza di tempo,Si completa correttamente la chiusura e si crea un passaggio di informazioni verso il nuovo progetto,Si dichiara fallito il progetto concluso,C
Qual è il ruolo del PMO nel processo di chiusura se l organizzazione lo prevede come ente di governance centralizzato,Il PMO non ha alcun ruolo definito,Il PMO si limita a fornire il software di project management,Il PMO supervisiona la corretta archiviazione dei documenti e la conformità agli standard,Il PMO esegue le attività operative di collaudo sul campo,C
Cosa si deve fare se il cliente non partecipa alla riunione di fine progetto ma ha già inviato un documento di accettazione formale via email,Si annulla la riunione e si considera tutto approvato,Si riprogramma la riunione obbligando il cliente a essere presente,Si procede comunque alla chiusura poiché l accettazione scritta è un requisito sufficiente,Si apre un contenzioso per inadempienza contrattuale,C
Quale documentazione risulta essenziale archiviare per evitare futuri reclami se il progetto includeva uno studio di fattibilità iniziale,È sufficiente il Gantt finale,Occorre conservare tutti i report di conformità e i documenti che attestano la fattibilità approvata inizialmente,Non occorre nulla perché lo studio di fattibilità era informale,È necessaria solo la mail di avvio progetto,B
Perché è utile svolgere interviste individuali con i fornitori chiave dopo la chiusura formale,Per prolungare i costi di consulenza,Per approfondire proposte di miglioramento e chiarire eventuali malintesi in un clima meno formale,Per nascondere le azioni correttive al top management,Per ridurre il tempo del close out meeting,B
In che modo vanno gestite le penali contrattuali se il cliente ha accettato i deliverable con ritardi ma senza contestarli durante la chiusura,Si applicano retroattivamente in ogni caso,Si elimina qualsiasi penale perché l accettazione è avvenuta,Si può richiedere comunque l importo delle penali tramite un arbitrato,Si rinegozia e si documenta la rinuncia del cliente,B
Come si definisce l insieme delle attività di chiusura contrattuale quando il budget residuo è ancora consistente ma non ci sono ulteriori requisiti,Si utilizza il budget per nuovi scopi,Si deve restituire il budget non utilizzato o negoziare la destinazione,Si blocca la firma di accettazione per riservare il budget,Si obbliga il team a creare deliverable extra,B
Qual è lo scopo dell archiviazione strutturata delle lesson learned all interno di un repository condiviso,Permettere a chiunque di modificarle in qualsiasi momento,Trattenere le informazioni solo per scopi legali,Consentire l accesso e il riuso delle informazioni in progetti futuri,Evitarne la consultazione a progetti già avviati,C
Cosa deve fare il project manager nel caso in cui vi siano reclami sull ambito non soddisfatto dopo l accettazione formale del progetto,Aprire un nuovo claim formale durante la chiusura,Ignorare i reclami perché l ambito è stato definito,Accettare di eseguire subito tutte le modifiche gratis,Richiedere un nuovo budget e aprire un progetto differente,A
In quale condizione la chiusura amministrativa può andare in conflitto con la chiusura del contratto quando esistono più sponsor di diverse business unit,Se nessuno sponsor riconosce la consegna dei deliverable,Se c è un eccesso di moduli di qualità,Se le business unit condividono lo stesso PMO,Se l azienda non possiede procedure di test adeguate,A
Quale attività si compie prima di archiviare definitivamente tutta la documentazione del progetto,Si eliminano i registri dei rischi,Si aggiornano i file con le ultime informazioni e si definiscono le lesson learned,Si chiude il repository e si cancella il Gantt,Si manda una mail generica di ringraziamento,B
Quando conviene chiudere anticipatamente un progetto prima del completamento dei deliverable iniziali,Se i costi scendono sotto il 30 per cento del budget,Se il contesto o il cliente non ritengono più utile il prodotto e concordano un interruzione formale,Se il team non ha la competenza tecnica necessaria,Se il PMO chiede una riduzione di personale,B
Perché potrebbe essere necessaria un analisi supplementare dell impatto sugli stakeholder secondari nella fase di chiusura,Per identificare potenziali partner commerciali,Per scongiurare problemi o reclami post consegna e salvaguardare la reputazione,Per aumentare il scope esistente,Per definire la baseline dei tempi in ritardo,B
Qual è il rischio di non svolgere una procedura di close out meeting con i fornitori esterni,Si rischia di formalizzare troppi requisiti,Si ottimizzano i costi ma si perde visibilità sulle eventuali problematiche insolute,Si guadagna tempo e riduce la burocrazia,Si chiude il contratto con più facilità,B
Come va trattato un deliverable che il cliente ha parzialmente rifiutato durante la review finale ma non costituisce un ostacolo per la funzionalità di base,Si riprogetta l intero deliverable annullando la chiusura,Si inserisce in un allegato l eccezione specificando le condizioni di utilizzo e l accettazione parziale,Si nasconde l informazione all interno di un archivio riservato,Si chiede un budget triplicato,B
Quale vantaggio pratico deriva dalla corretta chiusura del contratto con un fornitore secondario prima della firma di accettazione finale con il cliente,Si libera immediatamente il team di progetto da ogni onere contrattuale,Si evitano conflitti di interessi quando il cliente richiede modifiche,Si garantisce la disponibilità delle risorse economiche residue,Si impedisce al fornitore di reclamare dopo l accettazione finale,B
In che modo il project manager gestisce la comunicazione alla direzione generale se la chiusura è stata completata ma il risultato non soddisfa pienamente gli obiettivi iniziali,Non comunica nulla per evitare critiche,Invia una relazione onesta con le cause dell insuccesso parziale e le proposte di miglioramento,Richiede un ulteriore budget per coprire i ritardi,Blocca le altre chiusure per contratti simili,B
Qual è il ruolo del project manager nel documentare gli errori del team dopo la chiusura,Non ha alcun ruolo in quanto gli errori vanno gestiti in sede di avvio,Deve redigere un elenco dettagliato di errori e cause per trasferirli nelle lesson learned,Deve divulgarli pubblicamente a tutti i clienti,Deve eliminare le evidenze per proteggere il team,B
Quale elemento del report di chiusura risulta cruciale per supportare le successive fasi di manutenzione del prodotto rilasciato,Il Gantt completo con i nomi di tutti i partecipanti,Un manuale operativo e una descrizione dettagliata dei componenti rilasciati,Un prospetto generico dei costi,Un questionario di soddisfazione del cliente,B
Come si gestisce la chiusura di progetto se la normativa di settore è cambiata improvvisamente e i deliverable non risultano più conformi,Si aggiorna il deliverable con un cambio di scope senza formalità,Si propone una revisione contrattuale immediata prima di finalizzare la chiusura,Si ignora la normativa perché si è prossimi alla chiusura,Si carica il problema sul PMO,B
Cosa succede se il cliente firma l accettazione finale ma il reparto legale interno solleva obiezioni sulle clausole di responsabilità post consegna,La firma del cliente è sufficiente per la chiusura,Si deve negoziare con il reparto legale la modifica delle clausole e rivedere la documentazione di chiusura,Si invalida l intero progetto,Si apre un risk register per la prossima fase,B
Perché la definizione di un piano di handover dettagliato alle strutture operative è parte integrante della chiusura,Per ridurre il tempo di testing,Per dare visibilità ai competitor,Per assicurare che l esercizio del prodotto o servizio realizzato prosegua senza blocchi o ambiguità,Per consentire al team di trasferirsi in un altra nazione,C
Come vanno gestiti i costi residui se il budget approvato non è stato interamente utilizzato e il progetto sta per essere chiuso,Si possono tenere come bonus per il project manager,Devono essere restituiti o riassegnati secondo le policy aziendali,Si spostano su un conto segreto per emergenze,Non si dichiarano finché non inizia un nuovo progetto,B
Che cosa impedisce la conclusione formale di un progetto se manca il verbale di collaudo finale firmato,Non impedisce nulla il progetto è concluso,Il PMO può sostituire il verbale con una stima di completamento,Non è possibile validare la corretta realizzazione dei deliverable e manca l accettazione definitiva,Si contatta un auditor esterno per la firma,C
In quale caso è ammessa la chiusura amministrativa senza la presenza di un close out meeting in presenza,Quando il progetto ha un team distribuito ma vengono utilizzati strumenti di collaborazione a distanza e tutti firmano l accettazione,Quando il fornitore non è disponibile,Quando il PM decide autonomamente,Quando i costi di trasferta superano il budget,A
Quale rischio si corre se non vengono documentate le lições aprendidas (lesson learned) e si ignora il passaggio nel knowledge base aziendale,Non ci sono rischi notevoli,Si rischia di ripetere gli stessi errori in futuri progetti e si perde l occasione di migliorare,Si guadagna tempo per avviare nuovi progetti,Si elimina la necessità di gestire formati documentali,B
Qual è l obiettivo principale dell incontro di chiusura con il reparto finance se il progetto ha generato spese superiori alle previsioni,Verificare che il PM abbia ricevuto il bonus di progetto,Redigere il documento di lesson learned focalizzato esclusivamente sui costi,Capire le cause degli scostamenti e chiudere correttamente i conti,Passare la responsabilità del debito a un altro reparto,C
Come si gestisce la chiusura contrattuale se il fornitore principale insiste nell inserire un ulteriore deliverable a costo zero per compensare difetti non sanati,Si accetta automaticamente per concludere in modo pacifico,Si registra la proposta ma si ottiene un cambio formale al contratto,Si ignora perché non previsto,Si minaccia un azione legale,B
Perché la fase di chiusura prevede anche la verifica che i sistemi di reportistica vengano dismessi o trasferiti correttamente,Per evitare costi IT non necessari e aggiornare l organizzazione su eventuali strumenti mantenuti,Per eliminare tutte le tracce del progetto,Per passare i costi ai fornitori,Per semplificare la fase di avvio del prossimo progetto,A
Cosa comporta la mancata chiusura del progetto nell ambito di gestione dei contratti quando ci sono controversie aperte,Il progetto resta formalmente aperto e non si può archiviare la documentazione,Il team è libero di eseguire nuove attività senza vincoli,Non comporta nulla di negativo,Si creano due baseline distinte,A
In che modo il project manager dovrebbe gestire il coinvolgimento della direzione qualità aziendale nella fase di chiusura,Evitarla per non avere ulteriori controlli,Richiedere una revisione finale degli standard adottati e la conformità del deliverable,Delegare la qualità al cliente,Non menzionarla nel report di chiusura,B
Qual è il beneficio di pianificare con anticipo la chiusura del progetto già nella fase di avvio,Non esiste alcun beneficio,Consente di prevedere tempi e risorse per la transizione e la formalizzazione,Obbliga il team a ridurre la qualità,Evita di scrivere il Gantt,B
Come può la mancata definizione di un archivio centrale dei documenti di progetto incidere negativamente sulla chiusura,Favorisce una migliore privacy sullo storico,Non incide sui deliverable,Implica la dispersione dei dati e ostacola il recupero di informazioni essenziali per un close out completo,Impedisce di assumere nuovo personale,C
Cosa succede se alla chiusura il cliente non utilizza il deliverable realizzato ma ne riconosce il valore e lo approva formalmente,Si annulla il progetto e si riassegna lo scope,Si considera il progetto chiuso correttamente,Si dichiara un fallimento,Si apre una controversia legale,B
Quale tecnica può essere applicata per classificare gli errori più significativi emersi durante l esecuzione e registrarli nelle lesson learned,La root cause analysis,La definizione di un costo standard,La tabella di passaggio di consegne,La riduzione dei meeting di controllo,A
Cosa stabilisce la formalizzazione del passaggio di responsabilità dalle risorse di progetto alle funzioni operative in termini di supporto post consegna,Che il project manager resti unico referente per eventuali problemi futuri,Che il cliente debba contattare direttamente il fornitore esterno,Che il reparto operativo si occupi della manutenzione e assistenza ordinaria da un certo momento in poi,Che non sia previsto alcun tipo di supporto,C
In quale caso si può definire la chiusura del contratto con un fornitore subentrante prima della conclusione generale del progetto,Quando la sua prestazione è stata completata e accettata,Quando il fornitore chiede un bonus,Quando il PMO non è più interessato,Quando il subentrante richiede troppi update,A
Come gestire una sovrapposizione di attività di chiusura con altre di avvio in un progetto successivo se alcuni deliverable non sono ancora testati,Si dichiara comunque la chiusura e si spostano i test al nuovo progetto,Si mantiene l obbligo di test nel progetto corrente e si completano prima di aprire ufficialmente il nuovo,Si delega il testing al team del nuovo progetto,Si ignora la questione perché irrilevante,B
Perché la raccolta di tutte le approvazioni intermedie (stage gate) è importante in fase di chiusura finale,Per ridurre la complessità burocratica,Per poter contestare il committente in caso di conflitti,Per avere prove documentali dell avvenuta accettazione a ogni passaggio e facilitare la firma finale,Per non dover fornire report specifici sui rischi,C
Quale motivazione giustifica l importanza di un handover pianificato ai reparti IT e manutenzione,Assicurarsi che i costi di licenza vengano trasferiti al cliente,Confermare che le nuove funzionalità verranno disabilitate,Consentire la continuità operativa e la gestione post rilascio senza che il progetto resti aperto,Evita di pagare i fornitori esterni,C
In caso di subfornitura multipla come si garantisce la coerenza tra la chiusura amministrativa centrale e le chiusure contrattuali con i diversi subfornitori,Si eseguono le chiusure in tempi casuali,Si procede con una strategia di chiusura coordinata in cui ogni subfornitore viene gestito singolarmente e integrato nel report finale,Si attendono i subfornitori che non hanno mai consegnato,Si archivia soltanto la parte principale,B
Cosa bisogna fare se le policy interne impongono una fase di audit contabile entro 10 giorni dalla chiusura e il PM prevede di concludere prima,Si ignora la policy aziendale,Si rinvia la chiusura fino a completamento dell audit,Si chiede un eccezione formale alla direzione,Si anticipa l audit contabile prima di definire la data di chiusura,D
Qual è l effetto di una chiusura contrattuale affrettata se i deliverable non sono stati testati insieme a tutti gli stakeholder,Si accelera la transizione al manutentore,Si può incorrere in controversie o reclami successivi poiché il deliverable potrebbe non soddisfare esigenze non rilevate,Si ottiene un buon punteggio nel knowledge base,Si previene l aggiornamento dei contratti,B
In quale situazione ci si trova se la chiusura è vincolata all approvazione di un ente regolatorio esterno che non ha ancora completato la verifica,Si chiude parzialmente il progetto e si lascia in sospeso la compliance,Si delega la responsabilità al cliente finale,Non si può dichiarare concluso il progetto finché l ente non rilascia l autorizzazione necessaria,Si ignora l ente perché non era nel project charter,C
Perché la documentazione delle penali non applicate è rilevante nel report finale di chiusura,Per creare confusione amministrativa,Per evitare contestazioni future su clausole non attuate,Per aumentare la complessità legale,Per ridurre il numero di revisioni interne,B
Quale rischio corrono le organizzazioni che non archiviano correttamente i registri di progetto alla chiusura,Non hanno alcun rischio concreto,Possono perdere know how e trovarsi impreparate in caso di contestazioni o progetti simili futuri,Possono affidarsi al passaparola,Possono delegare ogni responsabilità al PMO,B
Se un deliverable presenta un difetto minore ma il team di qualità lo ritiene non critico e il cliente lo accetta come tollerabile cosa deve comparire nel documento di chiusura,La prova che il difetto sia stato rimosso completamente,La segnalazione che è stato accettato con riserva,Una penale automatica che riduce il costo totale,La riduzione del numero di risorse,B
Cosa indica la definizione di un champion interno al termine del progetto per gestire eventuali issue post chiusura,Non si deve definire alcun champion,È una figura aziendale che si occupa di mantenere la responsabilità del prodotto dopo la chiusura,È un ruolo di garanzia legale esterna,È una persona del cliente che deve assumere il ruolo di PM in ritardo,B
Come si procede se all atto di chiusura formale emergono incongruenze tra il budget rendicontato e quello approvato inizialmente in fase di avvio,Si ignora la differenza e si archivia ugualmente,Si impone una riduzione forzata del compenso al team,Si fa un confronto dettagliato e si spiegano le voci di scostamento nel report di chiusura,Si avvia un nuovo subprogetto contabile,C
Qual è la finalità ultima della chiusura del contratto quando un progetto si conclude con un fornitore non più necessario,Verificare che la baseline fosse corretta,Registrare le performance del fornitore e impedire future collaborazioni,Formalizzare la liberazione reciproca degli obblighi e chiudere ogni aspetto economico legale,Trasferire il contratto su un progetto successivo,C
Cosa accade se la direzione richiede un indice di ROI finale durante la chiusura ma non erano stati raccolti dati sufficienti in fase di esecuzione,Si stima a caso il ROI,Si rinvia l analisi a un nuovo progetto,Si elabora una proiezione approssimativa comunicando le limitazioni e l incompletezza dei dati,Si chiede al cliente di fornire stime ufficiali,C
Perché in alcune organizzazioni la chiusura è oggetto di un processo di audit separato condotto da un ente interno o esterno,Per sanzionare economicamente tutti i difetti,Per validare la conformità del processo di project management e controllare l integrità delle procedure e dei risultati,Per allungare i tempi di collaudo,Per evitare che i manager funzionali controllino la qualità,B
Se un progetto è concluso con successo ma alcune documentazioni obbligatorie non sono state firmate dal legal department che effetto si ottiene,La chiusura può ritenersi comunque valida se il cliente è soddisfatto,Si apre un contenzioso con il legal,Non si può completare la chiusura amministrativa finché non si ottengono le firme richieste,Si trasferisce la responsabilità al PMO,C
In che modo la definizione di responsabilità post progetto incide sul rapporto con il cliente in caso di guasti o anomalie riscontrate successivamente,Non ha alcun impatto,Può prevenire dispute se è chiaro chi deve intervenire e con quali modalità,Genera confusione perché il progetto è ormai chiuso,Raddoppia il tempo di garanzia del deliverable,B
Perché la definizione di un report completo sulle performance del progetto fa parte della chiusura e non della semplice esecuzione,Perchè va scritto entro i primi giorni di avvio,Per evitare di dichiarare successi non reali,Per avere una visione consolidata a consuntivo di tutte le attività e gli obiettivi raggiunti,Per costringere il cliente a firmare un ulteriore Gantt,C
In caso di progetti complessi con molti subappaltatori quale strumento può aiutare a finalizzare la chiusura di ciascun contratto senza confusione,Un Gantt nascosto da consegnare al fornitore principale,Una matrice RACI sulle responsabilità di chiusura e un registro per i contratti secondari,Una serie di call settimanali senza documentazione,Un pm esterno assunto ad hoc,B
Cosa prevede la chisura amministrativa relativamente alle risorse materiali usate durante il progetto,Che si distruggano le risorse dopo l uso,Che si cedano automaticamente al cliente,Che vengano restituite alle funzioni di linea se di proprietà aziendale oppure allocate secondo accordi specifici,Che si abbandonino in magazzino senza registrazione,C
Se un fornitore non ha completato un deliverable secondario ma ha fatturato l intero importo e il cliente non ne richiede l utilizzo come si conclude la chiusura,Si procede comunque alla chiusura se il cliente accetta la mancanza,Si ridiscute il contratto a inizio nuovo progetto,Si apre una controversia legale immediata,Si congela ogni pagamento fino al completamento,A
Perché la definizione di date certe e di responsabilità chiare nella fase di chiusura facilita la gestione dei passaggi alle operation,Perché innesca contrasti con i reparti interni,Perché riduce l importanza del project manager,Perché offre un quadro trasparente su chi gestirà i deliverable e a partire da quando,Perché elimina tutte le barriere tra contratti e subfornitori,C
